GLORIA Sector,BEA Summary
Growing wheat,111CA
Growing maize,111CA
Growing cereals n.e.c,111CA
Growing leguminous crops and oil seeds,111CA
Growing leguminous crops and oil seeds,311FT
Growing rice,111CA
Growing rice,311FT
"Growing vegetables, roots, tubers",111CA
Growing sugar beet and cane,111CA
Growing tobacco,111CA
Growing tobacco,487OS
Growing tobacco,562
Growing fibre crops,111CA
Growing fibre crops,113FF
Growing fibre crops,311FT
Growing fibre crops,487OS
Growing fibre crops,562
Growing fibre crops,313TT
Growing crops n.e.c.,111CA
Growing crops n.e.c.,113FF
Growing crops n.e.c.,311FT
Growing grapes,111CA
Growing fruits and nuts,111CA
Growing fruits and nuts,311FT
"Growing beverage crops (coffee, tea etc)",111CA
"Growing beverage crops (coffee, tea etc)",311FT
"Growing spices, aromatic, drug and pharmaceutical crops",111CA
Seeds and plant propagation,111CA
Raising of cattle,111CA
Raising of cattle,311FT
Raising of sheep,111CA
Raising of sheep,311FT
Raising of sheep,313TT
Raising of swine/pigs,111CA
Raising of swine/pigs,311FT
Raising of poultry,111CA
Raising of poultry,311FT
Raising of animals n.e.c.; services to agriculture,111CA
Raising of animals n.e.c.; services to agriculture,332
Raising of animals n.e.c.; services to agriculture,333
Raising of animals n.e.c.; services to agriculture,339
Raising of animals n.e.c.; services to agriculture,711AS
Raising of animals n.e.c.; services to agriculture,487OS
Raising of animals n.e.c.; services to agriculture,562
Raising of animals n.e.c.; services to agriculture,113FF
Raising of animals n.e.c.; services to agriculture,311FT
Raising of animals n.e.c.; services to agriculture,313TT
Forestry and logging,113FF
Forestry and logging,321
Forestry and logging,311FT
Forestry and logging,325
Fishing,113FF
Fishing,111CA
Fishing,311FT
Crustaceans and molluscs,311FT
Crustaceans and molluscs,111CA
Hard coal,211
Hard coal,212
Lignite and peat,212
Petroleum extraction,211
Petroleum extraction,324
Petroleum extraction,325
Gas extraction,211
Gas extraction,324
Gas extraction,325
Iron ores,212
Iron ores,311FT
Iron ores,325
Uranium ores,212
Aluminium ore,212
Copper ores,212
Gold ores,212
Lead/zinc/silver ores,212
Nickel ores,212
Tin ores,212
Other non-ferrous ores,212
"Quarrying of stone, sand and clay",212
"Quarrying of stone, sand and clay",327
Chemical and fertilizer minerals,212
Chemical and fertilizer minerals,311FT
Chemical and fertilizer minerals,325
Extraction of salt,212
Extraction of salt,311FT
Mining and quarrying n.e.c.; services to mining,212
Beef meat,311FT
Sheep meat,311FT
Pork,311FT
Poultry meat,311FT
Other meat products,311FT
Fish products,311FT
Cereal products,311FT
Vegetable products,311FT
Vegetable products,111CA
Fruit products,311FT
Food products and feeds n.e.c.,111CA
Food products and feeds n.e.c.,113FF
Food products and feeds n.e.c.,311FT
Food products and feeds n.e.c.,487OS
Food products and feeds n.e.c.,562
"Sugar refining; cocoa, chocolate and confectionery",111CA
"Sugar refining; cocoa, chocolate and confectionery",311FT
Animal oils and fats,311FT
Animal oils and fats,313TT
Animal oils and fats,325
Animal oils and fats,332
Animal oils and fats,111CA
Vegetable oils and fats,311FT
Vegetable oils and fats,325
Vegetable oils and fats,332
Vegetable oils and fats,339
Dairy products,311FT
Alcoholic and other  beverages,311FT
Tobacco products,311FT
Textiles and clothing,111CA
Textiles and clothing,313TT
Textiles and clothing,323
Textiles and clothing,561
Textiles and clothing,325
Textiles and clothing,315AL
Textiles and clothing,322
Textiles and clothing,335
Textiles and clothing,3361MV
