Sector,Unit,ReferenceCurrency,CurrencyYear,EmissionYear,PriceType,Flowable,Context,FlowUUID,FlowAmount,BaseIOLevel
111CA,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.4175182522600084,Summary
111CA,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.01856703051081717,Summary
111CA,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.3817332943961726e-05,Summary
113FF,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.26291838064934964,Summary
113FF,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.0015791657976612647,Summary
113FF,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,9.141357193276765e-06,Summary
212,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.7349397267221033,Summary
212,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.006262965710825867,Summary
212,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,1.5961516703134118e-05,Summary
213,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.7447636769421188,Summary
213,kg,USD,2013,2013,Basic,Methane,emission/air,aab83476-ec6c-3742-af85-15d320b7ce80,0.022857843605837667,Summary
213,kg,USD,2013,2013,Basic,Nitrous oxide,emission/air,cfee0524-7ad6-300b-b050-6249135a2492,7.267657420806597e-06,Summary
22,kg,USD,2013,2013,Basic,Carbon dioxide,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,0.5239941010330276,Summary
